/NM5/D_X,/NM5/D_Y
5.604536625057517e-12,5.24830210802248e-10
5.640569891919826e-12,3.0288543182065e-09
5.675655859650499e-12,5.266438189599208e-09
5.711254526362193e-12,7.200702390778077e-09
5.748251123017233e-12,8.733310783233814e-09
5.787891640809412e-12,9.734133676291314e-09
5.83242770448752e-12,9.997434632063241e-09
5.88867846380607e-12,9.048941000121847e-09
5.929602074983981e-12,7.541269871952639e-09
5.981742209878379e-12,4.853751345129075e-09
6.025931238841609e-12,2.131021696594197e-09
6.064698408059154e-12,-4.005176339248345e-10
6.102049223311114e-12,-2.792344497742126e-09
6.138425794084934e-12,-4.926679936745236e-09
6.175105801395033e-12,-6.749883294892884e-09
6.21325223446799e-12,-8.176706570765454e-09
6.25415540804194e-12,-9.075581619581152e-09
6.300351931959245e-12,-9.240186797848427e-09
6.35999280229172e-12,-8.159208428696592e-09
6.40482946839661e-12,-6.495982549637022e-09
6.45607675598031e-12,-3.932567245111065e-09
6.500358751300933e-12,-1.370226430572067e-09
6.539817836268882e-12,9.958331596749024e-10
6.577932620651942e-12,3.18796551066486e-09
6.615418665012273e-12,5.108925767539918e-09
6.653561625783491e-12,6.695642079138854e-09
6.693659979178922e-12,7.851832256634779e-09
6.737440836644108e-12,8.427609440370943e-09
6.788895334325327e-12,8.151945434239016e-09
6.870327178101399e-12,5.889687493467787e-09
6.929202966004644e-12,3.208269044536779e-09
6.974660089902342e-12,7.937213117527846e-10
7.016665967334609e-12,-1.489539514665998e-09
7.055755549088504e-12,-3.49046234521364e-09
7.094263988087771e-12,-5.202630629091908e-09
7.133908892091457e-12,-6.572968232900732e-09
7.17602531187065e-12,-7.488593238722261e-09
7.22298091822342e-12,-7.77950877374805e-09
7.281191408210255e-12,-7.077265148621691e-09
7.32317929480728e-12,-5.903534681038285e-09
7.381446186508301e-12,-3.580599481442148e-09
7.429902517280023e-12,-1.263934813477506e-09
7.472115676040548e-12,8.461220020219791e-10
7.512990920416515e-12,2.798760454732311e-09
7.552911726040864e-12,4.473744128264692e-09
7.593539052201574e-12,5.816199132655883e-09
7.636505860185514e-12,6.731333721513153e-09
7.684040809404285e-12,7.061838617250502e-09
7.74209127940944e-12,6.488004824721436e-09
7.78706070606729e-12,5.368142473786947e-09
7.848418142069062e-12,3.132147094914327e-09
7.898430143072652e-12,9.389461611526539e-10
7.942006844409174e-12,-1.048326857407734e-09
7.984156864235941e-12,-2.866229373109139e-09
8.025348529908303e-12,-4.399423721493016e-09
8.067446990952593e-12,-5.594032363890414e-09
8.112288182058098e-12,-6.350445318909247e-09
8.162629120019451e-12,-6.498288292874003e-09
8.227040474358373e-12,-5.638929832265107e-09
8.275921842571053e-12,-4.303300729939648e-09
8.333032009781563e-12,-2.224529116488607e-09
8.382309824133788e-12,-1.994413650135613e-10
8.426433060730379e-12,1.612388854949686e-09
8.469427302751351e-12,3.216237867946886e-09
8.512236524586535e-12,4.519148234722494e-09
8.556709406431311e-12,5.448064291990487e-09
8.605175544620229e-12,5.881012576099372e-09
8.662381378688957e-12,5.583610957731956e-09
8.723615572687073e-12,4.38936204802188e-09
8.791980872375015e-12,2.27917783461133e-09
8.844684562726705e-12,3.384873057586253e-10
8.8914186273026e-12,-1.40852135029614e-09
8.936219763886877e-12,-2.937378090345015e-09
8.980262290311911e-12,-4.163320135475817e-09
9.025971480855967e-12,-5.030936653813847e-09
9.075806831933756e-12,-5.421518084058751e-09
9.134856166838216e-12,-5.106612259363475e-09
9.194968409027468e-12,-4.006256862653935e-09
9.264675666753831e-12,-2.028021144555168e-09
9.318912362621789e-12,-2.087755075274687e-10
9.366964993458562e-12,1.408991762410045e-09
9.413269904768478e-12,2.806922342143875e-09
9.458990375451933e-12,3.897614988248832e-09
9.506756471938259e-12,4.620488391945558e-09
9.55953875875283e-12,4.848051469027642e-09
9.624464673678333e-12,4.307150558880058e-09
9.673773458017517e-12,3.35862764895414e-09
9.740141013374794e-12,1.581380985154097e-09
9.795379550937539e-12,-1.131557183822478e-10
9.844158950700876e-12,-1.587343942225825e-09
9.891942136613075e-12,-2.851369560106252e-09
9.939597021159797e-12,-3.804728060055968e-09
9.989796374004833e-12,-4.374574814053847e-09
1.00463279162563e-11,-4.420132260258346e-09
1.012041424292216e-11,-3.580237574646777e-09
1.017759069644184e-11,-2.36492549401773e-09
1.023886184366937e-11,-7.386926414666806e-10
1.029303596538293e-11,7.727806362732106e-10
1.034268610590618e-11,2.048717741668901e-09
1.039191608782598e-11,3.067453360749064e-09
1.044252417107561e-11,3.744776241029659e-09
1.049777873620206e-11,3.976184752670252e-09
1.056488148690427e-11,3.537263544879299e-09
1.061907072030825e-11,2.67522406828347e-09
1.069053941030303e-11,1.083752103753335e-09
1.074930372999683e-11,-3.897572646482263e-10
1.080147297952983e-11,-1.639942601226601e-09
1.085280542397867e-11,-2.662477113739786e-09
1.090452886378189e-11,-3.363505138188085e-09
1.096017874010915e-11,-3.661116814293305e-09
1.102598659682578e-11,-3.376114050186103e-09
1.109212445605924e-11,-2.480646694095829e-09
1.116924212281832e-11,-9.376271828073472e-10
1.123007434629322e-11,4.275308891034863e-10
1.128460511512364e-11,1.574789919774073e-09
1.133797789700792e-11,2.475588150926839e-09
1.139204064753313e-11,3.048609823288711e-09
1.145112084313371e-11,3.207146125275612e-09
1.152383537252694e-11,2.73700468737891e-09
1.157967688403045e-11,1.949634320049822e-09
1.165305386192881e-11,5.771109844745618e-10
1.171503931985585e-11,-6.701907911761976e-10
1.177072894220226e-11,-1.686789688400426e-09
1.182623877701329e-11,-2.458775711744537e-09
1.188335330058691e-11,-2.894875172181428e-09
1.194711871272581e-11,-2.8915317664018e-09
1.203171008361802e-11,-2.158478754974169e-09
1.209760765497124e-11,-1.156566501273797e-09
1.216566525845685e-11,5.646058230097586e-11
1.222693543037665e-11,1.111048358450828e-09
1.228437197365575e-11,1.913708375828754e-09
1.234287742557651e-11,2.425938288435483e-09
1.240613815547778e-11,2.555048844969562e-09
1.248378626788413e-11,2.117890971280082e-09
1.254364510575063e-11,1.407849324961596e-09
1.262123584892163e-11,2.250364028319569e-10
1.268738691860423e-11,-8.135436816944008e-10
1.274749754136169e-11,-1.617005342299623e-09
1.280819430179202e-11,-2.161177310108626e-09
1.287222228894294e-11,-2.356047807993854e-09
1.294799601833596e-11,-2.066124912226714e-09
1.301593687888209e-11,-1.400974136677272e-09
1.310138296155985e-11,-2.655485345822118e-10
1.31709803414608e-11,6.925695021941491e-10
1.32341595914332e-11,1.419641726109297e-09
1.329780645725235e-11,1.88469451293355e-09
1.336525542510719e-11,2.003009154033511e-09
1.344718533560607e-11,1.631229958089138e-09
1.351322801329232e-11,9.980786288129965e-10
1.359693603734498e-11,-1.117884450259444e-11
1.36682771458405e-11,-8.558482102753629e-10
1.373391314758432e-11,-1.46424742490514e-09
1.380116704505186e-11,-1.802374259662844e-09
1.387454763415711e-11,-1.779535848953873e-09
1.397156841291129e-11,-1.195153253525831e-09
1.404898260826133e-11,-4.287715260786673e-10
1.412723903622679e-11,4.084958472205663e-10
1.419894451717762e-11,1.056175535599014e-09
1.426830377598667e-11,1.444285381663119e-09
1.434247915888728e-11,1.519024801946073e-09
1.443305428668583e-11,1.148106648451587e-09
1.450456748732933e-11,5.824798961728135e-10
1.459276245202469e-11,-2.364968078026418e-10
1.466989167818379e-11,-8.791228633082489e-10
1.47424778499741e-11,-1.28165957145502e-09
1.481910088132656e-11,-1.401260309422883e-09
1.490898075103093e-11,-1.133478377265378e-09
1.498821305593195e-11,-6.155429817279703e-10
1.508484910883315e-11,1.490522099440714e-10
1.516662418641579e-11,7.223895900371152e-10
1.524365507759333e-11,1.061228248325221e-09
1.532530618380721e-11,1.121514194600573e-09
1.54235257412445e-11,8.007400899646884e-10
1.550303769864745e-11,3.164746535923738e-10
1.55993618131868e-11,-3.349154162182777e-10
1.56844721077686e-11,-7.986217305945214e-10
1.576649508250989e-11,-1.024482708507816e-09
1.585658198762919e-11,-9.633371296079165e-10
1.597840391527538e-11,-4.757137814201773e-10
1.610272302232589e-11,1.888730186591834e-10
1.619639476140783e-11,5.975006372200352e-10
1.628643439520713e-11,7.786135703041967e-10
1.638348462155228e-11,6.866312952433289e-10
1.651881350333521e-11,2.052197115195828e-10
1.664469905233701e-11,-3.265976177759088e-10
1.674426370681518e-11,-6.212988175799944e-10
1.684339001026275e-11,-6.918465174034031e-10
1.695602797691088e-11,-4.931190103152595e-10
1.706133928999138e-11,-1.379068012521888e-10
1.7181739029391e-11,2.651720940347135e-10
1.728790140537731e-11,4.712448728617836e-10
1.739636453174439e-11,4.595197383054687e-10
1.753337977585961e-11,1.817581534358373e-10
1.765554601105016e-11,-1.55140981969014e-10
1.777523979163472e-11,-3.972398719575532e-10
1.789210106233313e-11,-4.472512748592074e-10
1.802618260132488e-11,-2.801317374397018e-10
1.815298329084364e-11,-1.317268511439928e-11
1.829184138084073e-11,2.214262110364879e-10
1.842073635237531e-11,2.769326461007853e-10
1.856567881497778e-11,1.453950201847793e-10
1.87123107552487e-11,-7.953919909366916e-11
1.886846878073982e-11,-2.484535822763202e-10
1.901520576397853e-11,-2.52807462216857e-10
1.919227741277553e-11,-1.003551528189762e-10
1.937110161833463e-11,6.862246134308726e-11
1.954189125583563e-11,1.203745356750728e-10
1.97258076645944e-11,4.100634823622993e-11
1.993965847096055e-11,-9.308067049395503e-11
2.015194764862842e-11,-1.385975251548981e-10
2.037035472147564e-11,-7.975353497165401e-11
2.065117998754381e-11,8.019464606560052e-12
2.091856777836198e-11,1.079191147453218e-11
2.122746752266082e-11,-4.21458480702728e-11
2.168276599712256e-11,-6.426610146148532e-11
2.20837527824162e-11,-3.912583625155754e-11
2.288572635300348e-11,-2.883814336403188e-11
2.357085446440149e-11,-3.892116059970281e-11
2.47956453173579e-11,-3.900916443700257e-11
2.628782738609377e-11,-3.731846554946188e-11
2.862639230791848e-11,-3.781948493065862e-11
3.33035221515679e-11,-3.782468483650606e-11
4.235454474291003e-11,-3.778646777755119e-11
6.04565899255943e-11,-3.777389886927537e-11
9.666068029096285e-11,-3.774058644498745e-11
1.690688610216999e-10,-3.767441724088486e-11
3.138852224831741e-10,-3.754272210104699e-11
6.035179454061225e-10,-3.728177544045484e-11
1.182783391252019e-09,-3.67694506566199e-11
2.341314282943813e-09,-3.578143303962545e-11
4.658376066327401e-09,-3.39399845760175e-11
9.292499633094575e-09,-3.071563061307973e-11
1.646764314341265e-08,-2.665925707794296e-11
2.533961215323253e-08,-2.277214852683354e-11
3.533961215323253e-08,-1.941968825122879e-11
4.533961215323252e-08,-1.681896854853331e-11
5.533961215323252e-08,-1.474822683702619e-11
6.533961215323252e-08,-1.306339871967586e-11
7.533961215323252e-08,-1.166777005947741e-11
8.533961215323251e-08,-1.049438284841764e-11
9.533961215323251e-08,-9.495467996951068e-12
1.053396121532325e-07,-8.636038485963216e-12
1.153396121532325e-07,-7.889878318633733e-12
1.253396121532325e-07,-7.236951592404684e-12
1.353396121532325e-07,-6.661679545860403e-12
1.453396121532325e-07,-6.151764492939009e-12
1.553396121532325e-07,-5.697368095075457e-12
1.653396121532325e-07,-5.290525196433926e-12
1.753396121532326e-07,-4.924717899480093e-12
1.853396121532326e-07,-4.594560931819526e-12
1.953396121532326e-07,-4.295565760746726e-12
2.053396121532326e-07,-4.023961366719127e-12
2.153396121532326e-07,-3.776583667196511e-12
2.253396121532326e-07,-3.550727785133246e-12
2.353396121532326e-07,-3.344051712764913e-12
2.453396121532326e-07,-3.154536938546326e-12
2.553396121532326e-07,-2.98043456219192e-12
2.653396121532326e-07,-2.820221748279998e-12
2.753396121532327e-07,-2.672566323391712e-12
2.853396121532327e-07,-2.536297872962642e-12
2.953396121532327e-07,-2.410383904316148e-12
3.053396121532327e-07,-2.293910124129129e-12
3.153396121532327e-07,-2.186064010319274e-12
3.253396121532327e-07,-2.086121037671149e-12
3.353396121532327e-07,-1.993433101412894e-12
3.453396121532327e-07,-1.907418705980294e-12
3.553396121532327e-07,-1.827554642224404e-12
3.653396121532327e-07,-1.753368877104613e-12
3.753396121532328e-07,-1.684434462769276e-12
3.853396121532328e-07,-1.620364295025935e-12
3.953396121532328e-07,-1.56080659145244e-12
4.053396121532328e-07,-1.505440968719247e-12
4.153396121532328e-07,-1.453975038193082e-12
4.253396121532328e-07,-1.406141425902735e-12
4.353396121532328e-07,-1.361695177196232e-12
4.453396121532328e-07,-1.320411476243494e-12
4.553396121532328e-07,-1.282083628648491e-12
4.653396121532328e-07,-1.246521301980313e-12
4.753396121532329e-07,-1.213548947831283e-12
4.853396121532329e-07,-1.183004420797284e-12
4.953396121532329e-07,-1.154737732909601e-12
5.053396121532329e-07,-1.128609964404115e-12
5.153396121532329e-07,-1.104492270391508e-12
5.253396121532329e-07,-1.082265007061494e-12
5.353396121532329e-07,-1.061816943309772e-12
5.453396121532329e-07,-1.043044544936358e-12
5.553396121532329e-07,-1.025851346275021e-12
5.653396121532329e-07,-1.010147370074768e-12
5.75339612153233e-07,-9.958486035150047e-13
5.85339612153233e-07,-9.828765358495965e-13
5.95339612153233e-07,-9.711577233395589e-13
6.05339612153233e-07,-9.60623408382471e-13
6.15339612153233e-07,-9.512091626618643e-13
6.25339612153233e-07,-9.428545675055122e-13
6.35339612153233e-07,-9.355029214120894e-13
6.45339612153233e-07,-9.29100970530075e-13
6.55339612153233e-07,-9.235986657191844e-13
6.65339612153233e-07,-9.189489363011225e-13
6.753396121532331e-07,-9.151074847971699e-13
6.853396121532331e-07,-9.120325992895621e-13
6.953396121532331e-07,-9.096849763883013e-13
7.053396121532331e-07,-9.080275640650095e-13
7.153396121532331e-07,-9.070254113218878e-13
7.253396121532331e-07,-9.066455338380369e-13
7.353396121532331e-07,-9.068567855906929e-13
7.453396121532331e-07,-9.076297462396903e-13
7.553396121532331e-07,-9.089366113932303e-13
7.653396121532331e-07,-9.107510908294385e-13
7.753396121532332e-07,-9.130483178332291e-13
7.853396121532332e-07,-9.158047638562593e-13
7.953396121532332e-07,-9.189981594181074e-13
8.053396121532332e-07,-9.226074171516493e-13
8.153396121532332e-07,-9.266125684030946e-13
8.253396121532332e-07,-9.309946955847677e-13
8.353396121532332e-07,-9.35735876361504e-13
8.453396121532332e-07,-9.408191292310716e-13
8.553396121532332e-07,-9.462283654287097e-13
8.653396121532333e-07,-9.519483410081599e-13
8.753396121532333e-07,-9.579646225690272e-13
8.853396121532333e-07,-9.6426354393031e-13
8.953396121532333e-07,-9.708321810467507e-13
9.053396121532333e-07,-9.776583225033047e-13
9.153396121532333e-07,-9.84730448964688e-13
9.253396121532333e-07,-9.920377148791308e-13
9.353396121532333e-07,-9.995699428730558e-13
9.453396121532333e-07,-1.007317615327208e-12
9.553396121532332e-07,-1.015271876525402e-12
9.653396121532331e-07,-1.023424546556382e-12
9.75339612153233e-07,-1.031768137611431e-12
9.853396121532329e-07,-1.040295879371547e-12
9.926698060766165e-07,-1.046660131935762e-12
1e-06,-1.053118130797685e-12
